,abs,train_step,solver_step
0,1.1780213117599487,0,0
1,0.5959134697914124,0,1
2,0.14985421299934387,0,2
3,0.07964301109313965,0,3
4,0.022545531392097473,0,4
5,0.011059912852942944,0,5
6,0.005293206311762333,0,6
7,0.0015358972596004605,0,7
8,0.0007600394310429692,0,8
9,0.0007600394310429692,0,9
10,0.0007600394310429692,0,10
11,0.0007600394310429692,0,11
0,2.323958396911621,1000,0
1,1.0605570077896118,1000,1
2,0.30958542227745056,1000,2
3,0.1488448828458786,1000,3
4,0.044680140912532806,1000,4
5,0.02398652210831642,1000,5
6,0.01149706169962883,1000,6
7,0.00453373184427619,1000,7
8,0.0022044540382921696,1000,8
9,0.0009035137481987476,1000,9
10,0.0004678589466493577,1000,10
11,0.0005343121592886746,1000,11
0,2.74983811378479,2000,0
1,1.1043431758880615,2000,1
2,0.30784353613853455,2000,2
3,0.10806436091661453,2000,3
4,0.04944382607936859,2000,4
5,0.02111019194126129,2000,5
6,0.00689585879445076,2000,6
7,0.003500215709209442,2000,7
8,0.0009040958830155432,2000,8
9,0.0004404126084409654,2000,9
10,0.0004404126084409654,2000,10
11,0.0004404126084409654,2000,11
0,3.24147629737854,3000,0
1,1.1366219520568848,3000,1
2,0.35154348611831665,3000,2
3,0.12818969786167145,3000,3
4,0.051242243498563766,3000,4
5,0.01974993199110031,3000,5
6,0.005695429164916277,3000,6
7,0.002423718338832259,3000,7
8,0.0007416432490572333,3000,8
9,0.00031047704396769404,3000,9
10,0.00011035564966732636,3000,10
11,0.00011035564966732636,3000,11
0,3.59991455078125,4000,0
1,1.1399322748184204,4000,1
2,0.38396528363227844,4000,2
3,0.16748100519180298,4000,3
4,0.04303682968020439,4000,4
5,0.017767854034900665,4000,5
6,0.00427175872027874,4000,6
7,0.0017378536285832524,4000,7
8,0.0004889215924777091,4000,8
9,0.0004889215924777091,4000,9
10,0.0004889215924777091,4000,10
11,0.0004889215924777091,4000,11
0,3.8253254890441895,5000,0
1,1.168319582939148,5000,1
2,0.41037166118621826,5000,2
3,0.17020834982395172,5000,3
4,0.03940363973379135,5000,4
5,0.016563810408115387,5000,5
6,0.0035831844434142113,5000,6
7,0.0014726214576512575,5000,7
8,0.0003679624933283776,5000,8
9,0.0003679624933283776,5000,9
10,0.0003679624933283776,5000,10
11,0.0003679624933283776,5000,11
0,4.2094268798828125,6000,0
1,1.235782265663147,6000,1
2,0.4690399169921875,6000,2
3,0.17096687853336334,6000,3
4,0.03962359204888344,6000,4
5,0.015969254076480865,6000,5
6,0.0035357752349227667,6000,6
7,0.0013341223821043968,6000,7
8,0.00043242931133136153,6000,8
9,0.00043242931133136153,6000,9
10,0.00043242931133136153,6000,10
11,0.00043242931133136153,6000,11
0,4.336989879608154,7000,0
1,1.2917578220367432,7000,1
2,0.47662553191185,7000,2
3,0.17255248129367828,7000,3
4,0.03991017863154411,7000,4
5,0.01614943891763687,7000,5
6,0.0037454282864928246,7000,6
7,0.0013994525652378798,7000,7
8,0.00043940392788499594,7000,8
9,0.00014667205687146634,7000,9
10,0.00014667205687146634,7000,10
11,0.00014667205687146634,7000,11
0,4.711198806762695,8000,0
1,1.3779057264328003,8000,1
2,0.5361633896827698,8000,2
3,0.16327665746212006,8000,3
4,0.041291192173957825,8000,4
5,0.014806597493588924,8000,5
6,0.0036317554768174887,8000,6
7,0.0012381529668346047,8000,7
8,0.00042127587948925793,8000,8
9,0.00042127587948925793,8000,9
10,0.00042127587948925793,8000,10
11,0.00042127587948925793,8000,11
0,4.897105693817139,9000,0
1,1.419216275215149,9000,1
2,0.5471325516700745,9000,2
3,0.18616537749767303,9000,3
4,0.03907524421811104,9000,4
5,0.014931077137589455,9000,5
6,0.0032642409205436707,9000,6
7,0.0011955522932112217,9000,7
8,0.0003557031450327486,9000,8
9,0.0003557031450327486,9000,9
10,0.0003557031450327486,9000,10
11,0.0003557031450327486,9000,11
0,5.0552659034729,10000,0
1,1.515533447265625,10000,1
2,0.6407595276832581,10000,2
3,0.5192912220954895,10000,3
4,0.13486449420452118,10000,4
5,0.07508543878793716,10000,5
6,0.03952857851982117,10000,6
7,0.13214582204818726,10000,7
8,0.2846710979938507,10000,8
9,0.11815929412841797,10000,9
10,0.05189632996916771,10000,10
11,0.05387992039322853,10000,11
0,5.265827655792236,11000,0
1,1.5726661682128906,11000,1
2,0.6102745532989502,11000,2
3,0.20824623107910156,11000,3
4,0.046385522931814194,11000,4
5,0.0165810976177454,11000,5
6,0.003983666654676199,11000,6
7,0.0014224451733753085,11000,7
8,0.0004242915892973542,11000,8
9,0.0004242915892973542,11000,9
10,0.0004242915892973542,11000,10
11,0.0004242915892973542,11000,11
0,5.562829971313477,12000,0
1,1.6634299755096436,12000,1
2,0.6674790978431702,12000,2
3,0.1977701634168625,12000,3
4,0.05067579075694084,12000,4
5,0.016691910102963448,12000,5
6,0.004441680386662483,12000,6
7,0.001462562126107514,12000,7
8,0.0004815025022253394,12000,8
9,0.0004815025022253394,12000,9
10,0.0004815025022253394,12000,10
11,0.0004815025022253394,12000,11
0,5.669495105743408,13000,0
1,1.73095703125,13000,1
2,0.6974259614944458,13000,2
3,0.23492607474327087,13000,3
4,0.05059288814663887,13000,4
5,0.01683521457016468,13000,5
6,0.003985163290053606,13000,6
7,0.0012748318258672953,13000,7
8,0.0004017511964775622,13000,8
9,0.0004017511964775622,13000,9
10,0.0004017511964775622,13000,10
11,0.0004017511964775622,13000,11
0,5.783713340759277,14000,0
1,1.750657081604004,14000,1
2,0.6857784986495972,14000,2
3,0.22344884276390076,14000,3
4,0.046202074736356735,14000,4
5,0.01529061421751976,14000,5
6,0.0038106839638203382,14000,6
7,0.0012494095135480165,14000,7
