,rel,train_step,solver_step
0,0.13928447663784027,0,0
1,0.0695483610033989,0,1
2,0.01731158420443535,0,2
3,0.009193416684865952,0,3
4,0.0025929929688572884,0,4
5,0.0012742895632982254,0,5
6,0.0005972411599941552,0,6
7,0.0001777520083123818,0,7
8,8.78755672601983e-05,0,8
9,8.78755672601983e-05,0,9
10,8.78755672601983e-05,0,10
11,8.78755672601983e-05,0,11
0,0.24627749621868134,1000,0
1,0.10958254337310791,1000,1
2,0.031235871836543083,1000,2
3,0.015138860791921616,1000,3
4,0.004602551925927401,1000,4
5,0.002464767312631011,1000,5
6,0.0011874568881466985,1000,6
7,0.0004706186009570956,1000,7
8,0.0002297881292179227,1000,8
9,9.486990893492475e-05,1000,9
10,4.824159623240121e-05,1000,10
11,5.333185981726274e-05,1000,11
0,0.26154085993766785,2000,0
1,0.10462456941604614,2000,1
2,0.028243284672498703,2000,2
3,0.010135970078408718,2000,3
4,0.0046066478826105595,2000,4
5,0.0019622603431344032,2000,5
6,0.0006590037955902517,2000,6
7,0.0003342603158671409,2000,7
8,8.780226926319301e-05,2000,8
9,4.253718361724168e-05,2000,9
10,4.253718361724168e-05,2000,10
11,4.253718361724168e-05,2000,11
0,0.26986876130104065,3000,0
1,0.09657038003206253,3000,1
2,0.028710315003991127,3000,2
3,0.010185596533119678,3000,3
4,0.004245581105351448,3000,4
5,0.0016261670971289277,3000,5
6,0.0004832392151001841,3000,6
7,0.00020785861124750227,3000,7
8,6.125191430328414e-05,3000,8
9,2.6285431886208244e-05,3000,9
10,9.14435167942429e-06,3000,10
11,9.14435167942429e-06,3000,11
0,0.27051958441734314,4000,0
1,0.08956262469291687,4000,1
2,0.028804348781704903,4000,2
3,0.011801483109593391,4000,3
4,0.0033146704081445932,4000,4
5,0.0013710232451558113,4000,5
6,0.0003326116711832583,4000,6
7,0.0001362145267194137,4000,7
8,3.758914317586459e-05,4000,8
9,3.758914317586459e-05,4000,9
10,3.758914317586459e-05,4000,10
11,3.758914317586459e-05,4000,11
0,0.27012044191360474,5000,0
1,0.08669169247150421,5000,1
2,0.0290420800447464,5000,2
3,0.011517844162881374,5000,3
4,0.0028828380163758993,5000,4
5,0.0012112873373553157,5000,5
6,0.0002624150365591049,5000,6
7,0.00010716848919400945,5000,7
8,2.7069811039837077e-05,5000,8
9,2.7069811039837077e-05,5000,9
10,2.7069811039837077e-05,5000,10
11,2.7069811039837077e-05,5000,11
0,0.27697739005088806,6000,0
1,0.08568257838487625,6000,1
2,0.030901364982128143,6000,2
3,0.01116524264216423,6000,3
4,0.0026646656915545464,6000,4
5,0.0010949880816042423,6000,5
6,0.00023577091633342206,6000,6
7,9.107367804972455e-05,6000,7
8,2.8011367248836905e-05,6000,8
9,2.8011367248836905e-05,6000,9
10,2.8011367248836905e-05,6000,10
11,2.8011367248836905e-05,6000,11
0,0.27295446395874023,7000,0
1,0.08548492938280106,7000,1
2,0.030053729191422462,7000,2
3,0.010754432529211044,7000,3
4,0.002588951727375388,7000,4
5,0.0010599992237985134,7000,5
6,0.00024021182616706938,7000,6
7,9.152639540843666e-05,7000,7
8,2.7475691240397282e-05,7000,8
9,9.402297109772917e-06,7000,9
10,9.402297109772917e-06,7000,10
11,9.402297109772917e-06,7000,11
0,0.2786496877670288,8000,0
1,0.08634430170059204,8000,1
2,0.0318019725382328,8000,2
3,0.009741122834384441,8000,3
4,0.0024792614858597517,8000,4
5,0.0009133534040302038,8000,5
6,0.00021793540508951992,8000,6
7,7.64171127229929e-05,8000,7
8,2.582315937615931e-05,8000,8
9,2.582315937615931e-05,8000,9
10,2.582315937615931e-05,8000,10
11,2.582315937615931e-05,8000,11
0,0.27969294786453247,9000,0
1,0.08499465882778168,9000,1
2,0.03116915374994278,9000,2
3,0.010448998771607876,9000,3
4,0.0022690012119710445,9000,4
5,0.0008722888305783272,9000,5
6,0.00018954653933178633,9000,6
7,7.048646511975676e-05,9000,7
8,2.073817086056806e-05,9000,8
9,2.073817086056806e-05,9000,9
10,2.073817086056806e-05,9000,10
11,2.073817086056806e-05,9000,11
0,0.2833245098590851,10000,0
1,0.08921530842781067,10000,1
2,0.03621397167444229,10000,2
3,0.03213461488485336,10000,3
4,0.008365980349481106,10000,4
5,0.004743992816656828,10000,5
6,0.0025087876711040735,10000,6
7,0.007490076124668121,10000,7
8,0.015569396317005157,10000,8
9,0.006693891249597073,10000,9
10,0.0028181462548673153,10000,10
11,0.0033189556561410427,10000,11
0,0.2865866720676422,11000,0
1,0.08948821574449539,11000,1
2,0.03290332481265068,11000,2
3,0.011128821410238743,11000,3
4,0.0025494431611150503,11000,4
5,0.0009216074831783772,11000,5
6,0.0002201726456405595,11000,6
7,8.019024244276807e-05,11000,7
8,2.3534472347819246e-05,11000,8
9,2.3534472347819246e-05,11000,9
10,2.3534472347819246e-05,11000,10
11,2.3534472347819246e-05,11000,11
0,0.2923837900161743,12000,0
1,0.09127378463745117,12000,1
2,0.03461236134171486,12000,2
3,0.010271470993757248,12000,3
4,0.0026467505376785994,12000,4
5,0.0008950119954533875,12000,5
6,0.00023552961647510529,12000,6
7,7.964688848005608e-05,12000,7
8,2.6129377147299238e-05,12000,8
9,2.6129377147299238e-05,12000,9
10,2.6129377147299238e-05,12000,10
11,2.6129377147299238e-05,12000,11
0,0.2967599630355835,13000,0
1,0.09422432631254196,13000,1
2,0.035788603127002716,13000,2
3,0.0120781771838665,13000,3
4,0.002616356825456023,13000,4
5,0.0008851524326018989,13000,5
6,0.00020765526278410107,13000,6
7,6.833003862993792e-05,13000,7
8,2.1146774088265374e-05,13000,8
9,2.1146774088265374e-05,13000,9
10,2.1146774088265374e-05,13000,10
11,2.1146774088265374e-05,13000,11
0,0.2925398051738739,14000,0
1,0.09222470968961716,14000,1
2,0.03414301201701164,14000,2
3,0.01100852619856596,14000,3
4,0.002328663133084774,14000,4
5,0.000782626389991492,14000,5
6,0.00019403973419684917,14000,6
7,6.560198380611837e-05,14000,7
8,1.9853356207022443e-05,14000,8
9,1.9853356207022443e-05,14000,9
10,1.9853356207022443e-05,14000,10
11,1.9853356207022443e-05,14000,11
0,0.30515220761299133,15000,0
1,0.10117378830909729,15000,1
2,0.03819895163178444,15000,2
3,0.012250139378011227,15000,3
4,0.002773107960820198,15000,4
5,0.0008950895280577242,15000,5
6,0.00023571238853037357,15000,6
7,7.920145435491577e-05,15000,7
8,2.6000921934610233e-05,15000,8
9,1.0146327440452296e-05,15000,9
10,1.0146327440452296e-05,15000,10
11,1.0146327440452296e-05,15000,11
0,0.3031451106071472,16000,0
1,0.09838981181383133,16000,1
2,0.03714323788881302,16000,2
3,0.011602031998336315,16000,3
4,0.0025019666645675898,16000,4
5,0.0007833631825633347,16000,5
6,0.0002007060538744554,16000,6
7,6.470966036431491e-05,16000,7
8,2.01160873984918e-05,16000,8
9,2.01160873984918e-05,16000,9
10,2.01160873984918e-05,16000,10
11,2.01160873984918e-05,16000,11
0,0.307576060295105,17000,0
1,0.10473262518644333,17000,1
2,0.03994137421250343,17000,2
3,0.011698429472744465,17000,3
4,0.002636454999446869,17000,4
5,0.0008079310646280646,17000,5
6,0.00020684927585534751,17000,6
7,6.611933349631727e-05,17000,7
8,2.0749439499923028e-05,17000,8
9,2.0749439499923028e-05,17000,9
10,2.0749439499923028e-05,17000,10
11,2.0749439499923028e-05,17000,11
0,0.30018502473831177,18000,0
1,0.09814430773258209,18000,1
2,0.03526072949171066,18000,2
3,0.015860596671700478,18000,3
4,0.0034423836041241884,18000,4
5,0.001135318074375391,18000,5
6,0.0003500592429190874,18000,6
7,0.00011846731649711728,18000,7
8,4.1149214666802436e-05,18000,8
9,1.5248791896738112e-05,18000,9
10,6.091217528592097e-06,18000,10
11,6.031617431290215e-06,18000,11
0,0.3066743016242981,19000,0
1,0.10484334826469421,19000,1
2,0.0375153049826622,19000,2
3,0.012331866659224033,19000,3
4,0.002588149392977357,19000,4
5,0.0007906415848992765,19000,5
6,0.00020965115982107818,19000,6
7,6.670182483503595e-05,19000,7
8,2.218362169514876e-05,19000,8
9,9.292207323596813e-06,19000,9
10,2.8166030006104847e-06,19000,10
11,2.8166030006104847e-06,19000,11
0,0.3110513389110565,20000,0
1,0.11047950387001038,20000,1
2,0.03950232267379761,20000,2
3,0.015874387696385384,20000,3
4,0.0030723654199391603,20000,4
5,0.0009255144977942109,20000,5
6,0.0002581350563559681,20000,6
