,abs,train_step,solver_step
0,0.9484478235244751,0,0
1,0.4788695275783539,0,1
2,0.12191984057426453,0,2
3,0.06402861326932907,0,3
4,0.017356615513563156,0,4
5,0.008862738497555256,0,5
6,0.0038143969140946865,0,6
7,0.0014972395729273558,0,7
8,0.0008154651732183993,0,8
9,0.00026080015231855214,0,9
10,0.00026080015231855214,0,10
11,0.00026080015231855214,0,11
0,2.353388547897339,1000,0
1,0.9972293972969055,1000,1
2,0.28560975193977356,1000,2
3,0.12255170196294785,1000,3
4,0.039230845868587494,1000,4
5,0.020844487473368645,1000,5
6,0.010032257065176964,1000,6
7,0.004216654226183891,1000,7
8,0.002113108057528734,1000,8
9,0.0008101043058559299,1000,9
10,0.00043514519347809255,1000,10
11,0.00043514519347809255,1000,11
0,2.787116765975952,2000,0
1,1.090888500213623,2000,1
2,0.32874181866645813,2000,2
3,0.11296260356903076,2000,3
4,0.054875608533620834,2000,4
5,0.0273512601852417,2000,5
6,0.009560288861393929,2000,6
7,0.0052262223325669765,2000,7
8,0.0014198163989931345,2000,8
9,0.0007285449537448585,2000,9
10,0.0002493477950338274,2000,10
11,0.0002493477950338274,2000,11
0,3.327549934387207,3000,0
1,1.114922046661377,3000,1
2,0.36956587433815,3000,2
3,0.12607590854167938,3000,3
4,0.05681701749563217,3000,4
5,0.023334261029958725,3000,5
6,0.007121238857507706,3000,6
7,0.0031643209513276815,3000,7
8,0.0009685363620519638,3000,8
9,0.0004478470073081553,3000,9
10,0.00018483056919649243,3000,10
11,0.00018415214435663074,3000,11
0,3.5903713703155518,4000,0
1,1.1256290674209595,4000,1
2,0.39673110842704773,4000,2
3,0.1492794156074524,4000,3
4,0.054026853293180466,4000,4
5,0.02250455506145954,4000,5
6,0.006339543033391237,4000,6
7,0.0026027557905763388,4000,7
8,0.0009670666768215597,4000,8
9,0.0005753138102591038,4000,9
10,0.00019250194600317627,4000,10
11,0.00019242173584643751,4000,11
0,3.8815159797668457,5000,0
1,1.158177137374878,5000,1
2,0.43154481053352356,5000,2
3,0.1849575787782669,5000,3
4,0.05320798233151436,5000,4
5,0.02250557392835617,5000,5
6,0.00593495462089777,5000,6
7,0.003696960397064686,5000,7
8,0.0015471193473786116,5000,8
9,0.0008251568651758134,5000,9
10,0.00042741489596664906,5000,10
11,0.00042826234130188823,5000,11
0,4.1533331871032715,6000,0
1,1.1918907165527344,6000,1
2,0.45609453320503235,6000,2
3,0.20285041630268097,6000,3
4,0.04736587032675743,6000,4
5,0.019879058003425598,6000,5
6,0.004901946522295475,6000,6
7,0.0018590755062177777,6000,7
8,0.0006867488264106214,6000,8
9,0.00034674134803935885,6000,9
10,0.00010789291263790801,6000,10
11,0.00010789291263790801,6000,11
0,4.307407855987549,7000,0
1,1.2426378726959229,7000,1
2,0.4823838770389557,7000,2
3,0.21272072196006775,7000,3
4,0.049578722566366196,7000,4
5,0.02075251005589962,7000,5
6,0.004993166774511337,7000,6
7,0.0018723678076639771,7000,7
8,0.0006539702299050987,7000,8
9,0.0002511984494049102,7000,9
10,0.0002511984494049102,7000,10
11,0.0002511984494049102,7000,11
0,4.318528175354004,8000,0
1,1.227332592010498,8000,1
2,0.46657368540763855,8000,2
3,0.18361501395702362,8000,3
4,0.04643113166093826,8000,4
5,0.01922181062400341,8000,5
6,0.004404125735163689,8000,6
7,0.0017806274117901921,8000,7
8,0.0006086099892854691,8000,8
9,0.00025043400819413364,8000,9
10,0.00025015356368385255,8000,10
11,0.00025015356368385255,8000,11
0,4.477374076843262,9000,0
1,1.2540267705917358,9000,1
2,0.4675331115722656,9000,2
3,0.17327138781547546,9000,3
4,0.04187276214361191,9000,4
5,0.017292195931077003,9000,5
6,0.003759219544008374,9000,6
7,0.0015660669887438416,9000,7
8,0.0004820591420866549,9000,8
9,0.0002697300515137613,9000,9
10,9.8354161309544e-05,9000,10
11,9.441216388950124e-05,9000,11
0,4.6399149894714355,10000,0
1,1.3191291093826294,10000,1
2,0.48817408084869385,10000,2
3,0.17937898635864258,10000,3
4,0.04319434240460396,10000,4
5,0.018154583871364594,10000,5
6,0.004049318842589855,10000,6
7,0.0016527950065210462,10000,7
8,0.0004776858550030738,10000,8
9,0.0001890480489237234,10000,9
10,7.387679943349212e-05,10000,10
11,7.186328002717346e-05,10000,11
0,4.581996440887451,11000,0
1,1.2771755456924438,11000,1
2,0.4655672013759613,11000,2
3,0.16245777904987335,11000,3
4,0.04053325578570366,11000,4
5,0.01605524681508541,11000,5
6,0.0037674233317375183,11000,6
7,0.0015304186381399632,11000,7
8,0.0005135466926731169,11000,8
9,0.00021536595886573195,11000,9
10,8.378783240914345e-05,11000,10
11,8.040107059059665e-05,11000,11
0,4.72864294052124,12000,0
1,1.2866641283035278,12000,1
2,0.47163400053977966,12000,2
3,0.16103778779506683,12000,3
4,0.03778013959527016,12000,4
5,0.014696340076625347,12000,5
6,0.0035565209109336138,12000,6
7,0.0013951726723462343,12000,7
8,0.00047090434236451983,12000,8
9,0.00019675200746860355,12000,9
10,6.94557384122163e-05,12000,10
11,6.94557384122163e-05,12000,11
0,4.741729259490967,13000,0
1,1.297782063484192,13000,1
2,0.471329003572464,13000,2
3,0.15662862360477448,13000,3
4,0.037675365805625916,13000,4
5,0.014351778663694859,13000,5
6,0.003488959977403283,13000,6
7,0.0013409561943262815,13000,7
8,0.0004154611087869853,13000,8
9,0.0001454014563933015,13000,9
10,0.0001454014563933015,13000,10
11,0.0001454014563933015,13000,11
0,5.007294654846191,14000,0
1,1.3674037456512451,14000,1
2,0.500062108039856,14000,2
3,0.1643802970647812,14000,3
4,0.03653006628155708,14000,4
5,0.013697130605578423,14000,5
6,0.003207965288311243,14000,6
7,0.0011900997487828135,14000,7
8,0.0003707662981469184,14000,8
9,0.00014251975517254323,14000,9
10,0.00014251975517254323,14000,10
11,0.00014251975517254323,14000,11
0,4.809344291687012,15000,0
1,1.32576584815979,15000,1
2,0.5199010372161865,15000,2
3,0.32200390100479126,15000,3
4,0.10244488716125488,15000,4
5,0.048642415553331375,15000,5
6,0.02391243912279606,15000,6
7,0.008883181028068066,15000,7
8,0.003753873286768794,15000,8
9,0.0015884751919656992,15000,9
10,0.0006443600868806243,15000,10
11,0.0002775072352960706,15000,11
0,4.968200206756592,16000,0
1,1.3661874532699585,16000,1
2,0.49314627051353455,16000,2
3,0.16306041181087494,16000,3
4,0.03660418465733528,16000,4
5,0.013840585015714169,16000,5
6,0.003340349067002535,16000,6
7,0.0012270713923498988,16000,7
8,0.0003846792969852686,16000,8
9,0.00015212934522423893,16000,9
10,0.00014772656140848994,16000,10
11,0.00014772656140848994,16000,11
0,4.879676342010498,17000,0
1,1.3712149858474731,17000,1
2,0.5024892687797546,17000,2
3,0.22436898946762085,17000,3
4,0.05424854904413223,17000,4
5,0.02103477343916893,17000,5
6,0.006862057372927666,17000,6
7,0.0029785288497805595,17000,7
8,0.004197245463728905,17000,8
9,0.0009817545069381595,17000,9
10,0.00039701940841041505,17000,10
11,0.0001957700151251629,17000,11
0,5.056280136108398,18000,0
1,1.4088495969772339,18000,1
2,0.49559158086776733,18000,2
3,0.15533430874347687,18000,3
4,0.03673945367336273,18000,4
5,0.013792666606605053,18000,5
6,0.0034379928838461637,18000,6
7,0.001289105275645852,18000,7
8,0.00039604175253771245,18000,8
9,0.00015164856449700892,18000,9
10,0.00015164856449700892,18000,10
11,0.00015164856449700892,18000,11
0,5.115873336791992,19000,0
1,1.4859029054641724,19000,1
2,0.5481542348861694,19000,2
3,0.16872496902942657,19000,3
4,0.04220743104815483,19000,4
5,0.0163138248026371,19000,5
6,0.00487429928034544,19000,6
7,0.0017439905786886811,19000,7
8,0.0005097343819215894,19000,8
9,0.00019112369045615196,19000,9
10,6.537668377859518e-05,19000,10
11,6.537668377859518e-05,19000,11
0,5.155653476715088,20000,0
1,1.4354928731918335,20000,1
2,0.5125638246536255,20000,2
3,0.17642836272716522,20000,3
4,0.03987112641334534,20000,4
5,0.015031689777970314,20000,5
6,0.003823323640972376,20000,6
7,0.0013827703660354018,20000,7
8,0.00043094358989037573,20000,8
9,0.00043094358989037573,20000,9
10,0.00043094358989037573,20000,10
11,0.00043094358989037573,20000,11
0,5.129717826843262,21000,0
1,1.4780728816986084,21000,1
2,0.5040547847747803,21000,2
3,0.1509208232164383,21000,3
4,0.039595019072294235,21000,4
5,0.014224539510905743,21000,5
6,0.0039014373905956745,21000,6
7,0.0014363093068823218,21000,7
8,0.0004550492740236223,21000,8
9,0.0004550492740236223,21000,9
10,0.0004550492740236223,21000,10
11,0.0004550492740236223,21000,11
0,5.314612865447998,22000,0
1,1.5302821397781372,22000,1
2,0.5249626636505127,22000,2
3,0.16461527347564697,22000,3
4,0.039049938321113586,22000,4
5,0.014433193020522594,22000,5
6,0.00368247227743268,22000,6
7,0.0013099589850753546,22000,7
8,0.0004098181670997292,22000,8
9,0.00014811474829912186,22000,9
10,0.00014644209295511246,22000,10
11,0.00014644209295511246,22000,11
0,5.250836372375488,23000,0
1,1.5464597940444946,23000,1
2,0.527567446231842,23000,2
3,0.1640888899564743,23000,3
4,0.03945373371243477,23000,4
5,0.014437295496463776,23000,5
6,0.003731256118044257,23000,6
7,0.0013290131464600563,23000,7
8,0.0004110091249458492,23000,8
9,0.0004110091249458492,23000,9
10,0.0004110091249458492,23000,10
11,0.0004110091249458492,23000,11
0,5.280425548553467,24000,0
1,1.5239094495773315,24000,1
2,0.5081764459609985,24000,2
3,0.16031666100025177,24000,3
4,0.037945155054330826,24000,4
5,0.013489708304405212,24000,5
6,0.0036637713201344013,24000,6
7,0.0012714862823486328,24000,7
8,0.0004045919922646135,24000,8
9,0.0004045919922646135,24000,9
10,0.0004045919922646135,24000,10
11,0.0004045919922646135,24000,11
0,5.386994361877441,25000,0
1,1.5717593431472778,25000,1
2,0.5619240999221802,25000,2
3,0.1647009700536728,25000,3
4,0.04319525882601738,25000,4
5,0.01626403070986271,25000,5
6,0.004843381233513355,25000,6
7,0.0019758858252316713,25000,7
8,0.0007715421379543841,25000,8
9,0.0003080742317251861,25000,9
10,0.00011161943257320672,25000,10
11,4.281996370991692e-05,25000,11
0,5.451766490936279,26000,0
1,1.572160243988037,26000,1
2,0.5348666906356812,26000,2
3,0.1689119189977646,26000,3
4,0.040602609515190125,26000,4
5,0.014421199448406696,26000,5
6,0.0036683366633951664,26000,6
7,0.0013320664875209332,26000,7
8,0.0003916669520549476,26000,8
9,0.0003916669520549476,26000,9
10,0.0003916669520549476,26000,10
11,0.0003916669520549476,26000,11
0,5.401126861572266,27000,0
1,1.617940068244934,27000,1
2,0.5218098163604736,27000,2
3,0.15575793385505676,27000,3
4,0.041244927793741226,27000,4
5,0.014405293390154839,27000,5
6,0.003844161983579397,27000,6
7,0.0013482427457347512,27000,7
8,0.00045414615306071937,27000,8
9,0.0001642564166104421,27000,9
10,0.0001642564166104421,27000,10
11,0.0001642564166104421,27000,11
0,5.3592753410339355,28000,0
1,1.5671354532241821,28000,1
2,0.5165614485740662,28000,2
3,0.1584111601114273,28000,3
4,0.040054816752672195,28000,4
5,0.01465709786862135,28000,5
6,0.0040659308433532715,28000,6
7,0.0014335262821987271,28000,7
8,0.0004736553819384426,28000,8
9,0.00016895866428967565,28000,9
10,0.00016895866428967565,28000,10
11,0.00016895866428967565,28000,11
0,5.521787643432617,29000,0
1,1.5894626379013062,29000,1
2,0.5275552272796631,29000,2
3,0.15830577909946442,29000,3
4,0.038421399891376495,29000,4
5,0.014122354798018932,29000,5
6,0.003564452985301614,29000,6
7,0.0012943317415192723,29000,7
8,0.0003992584825027734,29000,8
9,0.0003992584825027734,29000,9
10,0.0003992584825027734,29000,10
11,0.0003992584825027734,29000,11
0,5.4985761642456055,30000,0
1,1.622185468673706,30000,1
2,0.5114086866378784,30000,2
3,0.15102165937423706,30000,3
4,0.03718946874141693,30000,4
5,0.01297997310757637,30000,5
6,0.0032514252234250307,30000,6
7,0.0011721793562173843,30000,7
8,0.00035680035944096744,30000,8
9,0.00035680035944096744,30000,9
10,0.00035680035944096744,30000,10
11,0.00035680035944096744,30000,11
0,5.357208251953125,31000,0
1,1.6392664909362793,31000,1
2,0.526664674282074,31000,2
3,0.1564187854528427,31000,3
4,0.043753620237112045,31000,4
5,0.015415064059197903,31000,5
6,0.00423192186281085,31000,6
7,0.0014859024668112397,31000,7
8,0.0005150326760485768,31000,8
9,0.00018593652930576354,31000,9
10,0.00018593652930576354,31000,10
11,0.00018593652930576354,31000,11
0,5.5159759521484375,32000,0
1,1.633918046951294,32000,1
2,0.5286654233932495,32000,2
3,0.15983706712722778,32000,3
4,0.039961617439985275,32000,4
5,0.014029428362846375,32000,5
6,0.0037357648834586143,32000,6
7,0.0012706200359389186,32000,7
8,0.0004187034792266786,32000,8
9,0.0001561555836815387,32000,9
10,0.0001561555836815387,32000,10
11,0.0001561555836815387,32000,11
0,5.501626968383789,33000,0
1,1.606965184211731,33000,1
2,0.521018922328949,33000,2
3,0.16853083670139313,33000,3
4,0.04144852235913277,33000,4
5,0.014698531478643417,33000,5
6,0.003822250757366419,33000,6
7,0.0014122182037681341,33000,7
8,0.0004645504814106971,33000,8
9,0.0004645504814106971,33000,9
10,0.0004645504814106971,33000,10
11,0.0004645504814106971,33000,11
0,5.520129203796387,34000,0
1,1.6882617473602295,34000,1
2,0.5396886467933655,34000,2
3,0.15848848223686218,34000,3
4,0.044044386595487595,34000,4
5,0.015957903116941452,34000,5
6,0.004491408355534077,34000,6
7,0.0017191492952406406,34000,7
8,0.000615426863078028,34000,8
9,0.00022165886184666306,34000,9
10,0.00022165886184666306,34000,10
11,0.00022165886184666306,34000,11
0,5.488263130187988,35000,0
1,1.6508562564849854,35000,1
2,0.5160447359085083,35000,2
3,0.15480352938175201,35000,3
4,0.04085822030901909,35000,4
5,0.01400002185255289,35000,5
6,0.003753017634153366,35000,6
7,0.001354812877252698,35000,7
8,0.0004464685043785721,35000,8
9,0.00016066436364781111,35000,9
10,0.00016066436364781111,35000,10
11,0.00016066436364781111,35000,11
0,5.603194236755371,36000,0
1,1.7488596439361572,36000,1
2,0.5409238338470459,36000,2
3,0.15044741332530975,36000,3
4,0.04107058048248291,36000,4
5,0.014455757103860378,36000,5
6,0.004027246031910181,36000,6
7,0.001442163484171033,36000,7
8,0.0004907476250082254,36000,8
9,0.00020638838759623468,36000,9
10,7.205560541478917e-05,36000,10
11,7.203435961855575e-05,36000,11
0,5.505821704864502,37000,0
1,1.7845048904418945,37000,1
2,0.548393964767456,37000,2
3,0.1442347764968872,37000,3
4,0.0428355373442173,37000,4
5,0.014633354730904102,37000,5
6,0.004580932669341564,37000,6
7,0.0016109748976305127,37000,7
8,0.0005764862289652228,37000,8
9,0.000219267065403983,37000,9
10,7.461859786417335e-05,37000,10
11,7.461859786417335e-05,37000,11
0,5.54371452331543,38000,0
1,1.6694332361221313,38000,1
2,0.5229571461677551,38000,2
3,0.16621600091457367,38000,3
4,0.04278814047574997,38000,4
5,0.01562172919511795,38000,5
6,0.004325190559029579,38000,6
7,0.0016661498229950666,38000,7
8,0.0005920286639593542,38000,8
9,0.0002194669214077294,38000,9
10,0.0002194669214077294,38000,10
11,0.0002194669214077294,38000,11
0,5.586667060852051,39000,0
1,1.7931524515151978,39000,1
2,0.566184937953949,39000,2
3,0.17835837602615356,39000,3
4,0.048782382160425186,39000,4
5,0.017144687473773956,39000,5
6,0.004862809553742409,39000,6
7,0.0017764909425750375,39000,7
8,0.0005985248717479408,39000,8
9,0.00019506826356519014,39000,9
10,0.00019506826356519014,39000,10
11,0.00019506826356519014,39000,11
0,5.756248950958252,40000,0
1,1.7699226140975952,40000,1
2,0.5513995289802551,40000,2
3,0.1691293865442276,40000,3
4,0.04406632110476494,40000,4
5,0.015478730201721191,40000,5
6,0.003988628275692463,40000,6
7,0.0013735747197642922,40000,7
8,0.00043149865814484656,40000,8
9,0.00043149865814484656,40000,9
10,0.00043149865814484656,40000,10
11,0.00043149865814484656,40000,11
0,5.73983097076416,41000,0
1,1.8124701976776123,41000,1
2,0.5574616193771362,41000,2
3,0.15379689633846283,41000,3
4,0.04162174090743065,41000,4
5,0.014756421558558941,41000,5
6,0.004187405109405518,41000,6
7,0.0014622409362345934,41000,7
8,0.0005074411747045815,41000,8
9,0.00019745079043786973,41000,9
10,6.759566167602316e-05,41000,10
11,6.754651258233935e-05,41000,11
0,5.545312404632568,42000,0
1,1.712164044380188,42000,1
2,0.5190446972846985,42000,2
3,0.14302408695220947,42000,3
4,0.04024527594447136,42000,4
5,0.013923107646405697,42000,5
6,0.003765418427065015,42000,6
7,0.0014281183248385787,42000,7
8,0.00048491981578990817,42000,8
9,0.00016265864542219788,42000,9
10,0.00016265864542219788,42000,10
11,0.00016265864542219788,42000,11
0,5.625110626220703,43000,0
1,1.840803861618042,43000,1
2,0.5501989722251892,43000,2
3,0.14724521338939667,43000,3
4,0.04400176927447319,43000,4
5,0.014586213044822216,43000,5
6,0.00429402245208621,43000,6
7,0.0015076096169650555,43000,7
8,0.0005147245828993618,43000,8
9,0.000187821380677633,43000,9
10,0.000187821380677633,43000,10
11,0.000187821380677633,43000,11
0,5.628356456756592,44000,0
1,1.7228548526763916,44000,1
2,0.5316385626792908,44000,2
3,0.16787947714328766,44000,3
4,0.04566541686654091,44000,4
5,0.016190338879823685,44000,5
6,0.004619382321834564,44000,6
7,0.0016190304886549711,44000,7
8,0.0005635529523715377,44000,8
9,0.0001873041910585016,44000,9
10,0.00018687659758143127,44000,10
11,0.00018687659758143127,44000,11
0,5.551833629608154,45000,0
1,1.7827438116073608,45000,1
2,0.5287144780158997,45000,2
