,rel,train_step,solver_step
0,0.11607403308153152,0,0
1,0.05790723115205765,0,1
2,0.01474982500076294,0,2
3,0.007757046725600958,0,3
4,0.00210012448951602,0,4
5,0.001080643618479371,0,5
6,0.0004606885777320713,0,6
7,0.00018351891776546836,0,7
8,0.00010009572724811733,0,8
9,3.1926410883897915e-05,0,9
10,3.1926410883897915e-05,0,10
11,3.1926410883897915e-05,0,11
0,0.24743638932704926,1000,0
1,0.09937801212072372,1000,1
2,0.028086021542549133,1000,2
3,0.012051754631102085,1000,3
4,0.003832845948636532,1000,4
5,0.002036054152995348,1000,5
6,0.000983597943559289,1000,6
7,0.0004115658230148256,1000,7
8,0.00020703072368633002,1000,8
9,7.942702359287068e-05,1000,9
10,4.24885110987816e-05,1000,10
11,4.24885110987816e-05,1000,11
0,0.2651464343070984,2000,0
1,0.10024234652519226,2000,1
2,0.02971603162586689,2000,2
3,0.010275201871991158,2000,3
4,0.0049294596537947655,2000,4
5,0.002449805149808526,2000,5
6,0.0008741020574234426,2000,6
7,0.00047688750782981515,2000,7
8,0.0001298020506510511,2000,8
9,6.61007288726978e-05,2000,9
10,2.2652528059552424e-05,2000,10
11,2.2652528059552424e-05,2000,11
0,0.2727503478527069,3000,0
1,0.0903203934431076,3000,1
2,0.029254846274852753,3000,2
3,0.009809871204197407,3000,3
4,0.004505620338022709,3000,4
5,0.0018278456991538405,3000,5
6,0.0005766131798736751,3000,6
7,0.0002569063799455762,3000,7
8,7.650751649634913e-05,3000,8
9,3.5229077184339985e-05,3000,9
10,1.4622009985032491e-05,3000,10
11,1.4567162907042075e-05,3000,11
0,0.2715030908584595,4000,0
1,0.08470425754785538,4000,1
2,0.029235582798719406,4000,2
3,0.010624276474118233,4000,3
4,0.003991682548075914,4000,4
5,0.0016603133408352733,4000,5
6,0.00047378669842146337,4000,6
7,0.00019809383957181126,4000,7
8,7.16339927748777e-05,4000,8
9,4.400587567943148e-05,4000,9
10,1.460931252950104e-05,4000,10
11,1.4602927876694594e-05,4000,11
0,0.2723846137523651,5000,0
1,0.0817788690328598,5000,1
2,0.0297530647367239,5000,2
3,0.012242051772773266,5000,3
4,0.0037163710221648216,5000,4
5,0.0015730964951217175,5000,5
6,0.00041995159699581563,5000,6
7,0.00026889776927419007,5000,7
8,0.00011027971777366474,5000,8
9,6.025765833328478e-05,5000,9
10,3.134488724754192e-05,5000,10
11,3.089095116592944e-05,5000,11
0,0.27422359585762024,6000,0
1,0.07929226756095886,6000,1
2,0.029534023255109787,6000,2
3,0.012570561841130257,6000,3
4,0.0031206239946186543,6000,4
5,0.001309889485128224,6000,5
6,0.00032398526673205197,6000,6
7,0.00012422280269674957,6000,7
8,4.498281850828789e-05,6000,8
9,2.3303255147766322e-05,6000,9
10,7.198012099252082e-06,6000,10
11,7.198012099252082e-06,6000,11
0,0.27610471844673157,7000,0
1,0.08073347061872482,7000,1
2,0.0304856114089489,7000,2
3,0.012893193401396275,7000,3
4,0.003200711915269494,7000,4
5,0.0013372793328016996,7000,5
6,0.00032244407339021564,7000,6
7,0.00012272347521502525,7000,7
8,4.2155279516009614e-05,7000,8
9,1.6497262549819425e-05,7000,9
10,1.6497262549819425e-05,7000,10
11,1.6497262549819425e-05,7000,11
0,0.2652260363101959,8000,0
1,0.07627136260271072,8000,1
2,0.028389107435941696,8000,2
3,0.010820722207427025,8000,3
4,0.0028647298458963633,8000,4
5,0.0011805666144937277,8000,5
6,0.0002737291797529906,8000,6
7,0.00011063624697271734,8000,7
8,3.7657951907021925e-05,8000,8
9,1.5565241483272985e-05,8000,9
10,1.554825394123327e-05,8000,10
11,1.554825394123327e-05,8000,11
0,0.2619309723377228,9000,0
1,0.07553628832101822,9000,1
2,0.027412066236138344,9000,2
3,0.009887640364468098,9000,3
4,0.002527880249544978,9000,4
5,0.0010359134757891297,9000,5
6,0.00022745758178643882,9000,6
7,9.396711539011449e-05,9000,7
8,2.8944969017175026e-05,9000,8
9,1.640005939407274e-05,9000,9
10,5.9884737311222125e-06,9000,10
11,5.747447630710667e-06,9000,11
0,0.26414844393730164,10000,0
1,0.07724245637655258,10000,1
2,0.02793775126338005,10000,2
3,0.00996020995080471,10000,3
4,0.002534223720431328,10000,4
5,0.0010592545149847865,10000,5
6,0.00023747132217977196,10000,6
7,9.586799569660798e-05,10000,7
8,2.7394471544539556e-05,10000,8
9,1.10765859062667e-05,10000,9
10,4.288355285098078e-06,10000,10
11,4.164317033428233e-06,10000,11
0,0.25310131907463074,11000,0
1,0.07258573174476624,11000,1
2,0.02589167281985283,11000,2
3,0.00880548357963562,11000,3
4,0.0022915492299944162,11000,4
5,0.000901112100109458,11000,5
6,0.00021464889869093895,11000,6
7,8.64130852278322e-05,11000,7
8,2.899814171541948e-05,11000,8
9,1.2267282727407292e-05,11000,9
10,4.7940197873685975e-06,11000,10
11,4.5904453145340085e-06,11000,11
0,0.25388115644454956,12000,0
1,0.07166329026222229,12000,1
2,0.02565794624388218,12000,2
3,0.008535027503967285,12000,3
4,0.0020895253401249647,12000,4
5,0.0008097924292087555,12000,5
6,0.00019677741511259228,12000,6
7,7.702200673520565e-05,12000,7
