,abs,train_step,solver_step
0,1.2113028764724731,0,0
1,0.7869733572006226,0,1
2,0.3519601821899414,0,2
3,0.6474226117134094,0,3
4,0.2815939784049988,0,4
5,0.20106878876686096,0,5
6,0.11324190348386765,0,6
7,0.06386422365903854,0,7
8,0.028907347470521927,0,8
9,0.07214002311229706,0,9
10,0.44623106718063354,0,10
11,0.058656830340623856,0,11
0,2.2720327377319336,1000,0
1,1.5973776578903198,1000,1
2,0.9106932282447815,1000,2
3,1.0263124704360962,1000,3
4,1.528113842010498,1000,4
5,3.2846853733062744,1000,5
6,12.7252779006958,1000,6
7,78.86558532714844,1000,7
8,11.132102012634277,1000,8
9,6.791550636291504,1000,9
10,3.9568307399749756,1000,10
11,7.249519348144531,1000,11
0,3.065300464630127,2000,0
1,2.1698124408721924,2000,1
2,1.7197597026824951,2000,2
3,0.769008219242096,2000,3
4,1.2903386354446411,2000,4
5,0.7600553035736084,2000,5
6,0.6731851696968079,2000,6
7,5.17396354675293,2000,7
8,0.6449282765388489,2000,8
9,0.8282102942466736,2000,9
10,1.2559653520584106,2000,10
11,1.1907906532287598,2000,11
0,2.900700092315674,3000,0
1,1.928717017173767,3000,1
2,1.7694687843322754,3000,2
3,0.877505362033844,3000,3
4,1.9587645530700684,3000,4
5,2.1169135570526123,3000,5
6,3.281292200088501,3000,6
7,117.23392486572266,3000,7
8,3.7481727600097656,3000,8
9,6.372898101806641,3000,9
10,5.331098556518555,3000,10
11,5.35390043258667,3000,11
0,3.393040418624878,4000,0
1,1.4208121299743652,4000,1
2,1.9929882287979126,4000,2
3,0.9876660108566284,4000,3
4,0.6648779511451721,4000,4
5,1.1505420207977295,4000,5
6,2.1857128143310547,4000,6
7,0.5508120059967041,4000,7
8,1.0242403745651245,4000,8
9,1.3386030197143555,4000,9
10,37.739498138427734,4000,10
11,1.7807953357696533,4000,11
0,3.3842992782592773,5000,0
1,1.5351089239120483,5000,1
2,0.912786066532135,5000,2
3,1.2247813940048218,5000,3
4,1.6190305948257446,5000,4
5,0.7949582934379578,5000,5
6,0.9050424695014954,5000,6
7,0.5936338305473328,5000,7
8,0.397858589887619,5000,8
9,0.24204152822494507,5000,9
10,4.435431480407715,5000,10
11,1.410502552986145,5000,11
0,4.148425102233887,6000,0
1,1.2563945055007935,6000,1
2,0.4502764344215393,6000,2
3,0.17617753148078918,6000,3
4,0.0501239150762558,6000,4
5,0.021049993112683296,6000,5
6,0.5033589005470276,6000,6
7,0.10650162398815155,6000,7
8,1.0469467639923096,6000,8
9,0.0797397643327713,6000,9
10,0.5823528170585632,6000,10
11,1.0385249853134155,6000,11
